LA_1st.dat,LA 1,Lakeview
LA_2nd.dat,LA 2,Lakeview
LA_3rd.dat,LA 3,Lakeview
LA_4th.dat,LA 4,Lakeview
RidgeA.dat,Ridge A,Tel Hai Skilled
RidgeB.dat,Ridge B,Tel Hai Skilled
RidgeC.dat,Ridge C,Tel Hai Skilled
BrookA.dat,Brook A,Tel Hai Skilled
BrookB.dat,Brook B,Tel Hai Skilled
BrookC.dat,Brook C,Tel Hai Skilled
Memory_Support.dat,LV,Meadowview
MtnView_Upper.dat,MU,Mountainview Upper
MtnView_Lower.dat,ML,Mountainview Lower
GSV_Skilled_FC.dat,FC,GSV Skilled
GSV_Skilled_WG.dat,WG,GSV Skilled
GSV_Skilled_SW.dat,SW,GSV Skilled
GSV_Skilled_SF.dat,SF,GSV Skilled
FMT_Farmcrest.dat,FA,Farmcrest
FMT_WRPC.dat,PC,WRPC
FMT_NE_NF.dat,"NE, NF",FMT Skilled
FMT_NG_NH.dat,"NG, NH",FMT Skilled
FMT_N1.dat,N1,FMT Skilled
FMT_RH.dat,RH,FMT Skilled
SUNNY_SA.dat,SA,Sunny Crest
SUNNY_SB.dat,SB,Sunny Crest
SUNNY_SC.dat,SCF,Sunny Crest
SUNNY_SG.dat,SG,Sunny Crest
ACADIA_B1toB4.dat,AC B1�B4,Acadia
ACADIA_B5toB8.dat,AC B5�B8,Acadia
EVERGREEN_EM_EN.dat,"EM, EN",Evergreen
EVERGREEN_ES.dat,ES,Evergreen
EVERGREEN_EW.dat,EW,Evergreen
CountryView.dat,CV,Country View
Willow_View.dat,WV,Willow View
Brossman.dat,BH,Maple Farm
Franzen.dat,FH,Maple Farm
OUTPATIENT_P1.dat,P1,Med Packs P1
OUTPATIENT_P2.dat,P2,Med Packs P2
OUTPATIENT_P3.dat,P3,Med Packs P3
OUTPATIENT_P4.dat,P4,Med Packs P4
Heartwood_HW.dat,HW,Heatherwood
